Wall time,Step,Value
1766883502.6664996,116965,952.0
1766883505.0493667,118779,948.0
1766883505.7403588,119272,947.0
1766883505.998712,119516,947.0
1766883506.1335418,119600,946.0
1766883506.2615783,119726,946.0
1766883506.524193,119964,946.0
1766883507.279425,120683,946.0
1766883507.627697,120998,946.0
1766883508.9504745,122147,945.0
1766883509.3726661,122490,945.0
1766883509.6809762,122764,945.0
1766883510.450845,123392,944.0
1766883511.2808683,124213,944.0
1766883513.4056451,126032,943.0
1766883513.9961228,126545,943.0
1766883514.3340116,126729,942.0
1766883514.9727795,127226,941.0
1766883515.406091,127621,941.0
1766883515.659454,127845,941.0
1766883516.1519983,128260,940.0
1766883516.874955,128942,940.0
1766883517.039343,129068,940.0
1766883518.466231,130343,940.0
1766883520.3135762,132270,941.0
1766883520.753272,132615,940.0
1766883521.4573367,133243,940.0
1766883522.1925116,133947,940.0
1766883523.3713183,134967,940.0
1766883523.779931,135221,939.0
1766883524.140496,135576,939.0
1766883524.3938658,135785,939.0
1766883524.9033332,136256,939.0
1766883525.3838263,136688,939.0
1766883526.6488156,137706,937.0
1766883527.993302,138890,937.0
1766883528.9571574,139725,936.0
1766883530.13579,140767,936.0
1766883530.93538,141402,935.0
1766883531.3987825,141689,934.0
1766883532.1494553,142287,934.0
1766883532.8690624,142894,933.0
1766883533.4540946,143401,933.0
1766883533.5693767,143503,933.0
1766883534.122039,143959,932.0
1766883535.2240832,145189,934.0
1766883536.8057108,146746,934.0
1766883537.659564,147686,935.0
1766883538.132153,148176,935.0
1766883538.3883917,148408,935.0
1766883538.8268416,148845,936.0
1766883539.1433017,149174,936.0
1766883539.6354554,149693,936.0
1766883540.4726124,150505,936.0
1766883540.9216406,150895,936.0
1766883541.1931403,151200,936.0
1766883541.554447,151515,936.0
1766883541.7646108,151684,936.0
1766883542.8158376,152625,936.0
1766883544.9404078,154824,937.0
1766883545.5219982,155408,937.0
1766883545.908046,155810,938.0
1766883546.310522,156280,938.0
1766883547.3437605,157325,939.0
1766883549.6400652,159752,940.0
1766883551.029763,161236,941.0
1766883551.3187442,161519,941.0
1766883552.374314,162580,942.0
1766883552.9592328,163198,942.0
1766883553.3760855,163587,942.0
1766883553.7496414,163981,942.0
1766883555.021307,165335,943.0
1766883555.7203596,166139,944.0
1766883556.1736574,166632,944.0
1766883556.8554792,167272,944.0
1766883558.2215016,168617,945.0
1766883559.400427,169911,946.0
1766883559.7451117,170276,946.0
1766883560.1918821,170751,946.0
1766883560.7977722,171348,946.0
1766883562.0902257,172739,947.0
1766883563.3936646,174017,947.0
1766883563.974849,174630,948.0
1766883567.1966808,177963,949.0
1766883567.6794233,178517,950.0
1766883568.0406353,178915,950.0
1766883568.250594,179067,950.0
1766883568.4348488,179218,950.0
1766883569.1791005,180038,950.0
1766883569.3954163,180252,950.0
1766883570.029507,180920,951.0
1766883570.7432878,181691,951.0
1766883570.930014,181867,951.0
1766883571.8386729,182798,951.0
1766883572.1721418,183173,952.0
1766883572.6283221,183691,952.0
1766883573.108165,184199,952.0
1766883573.9610107,185032,953.0
1766883576.7845237,188025,954.0
1766883577.3221085,188541,954.0
1766883577.9657593,189181,954.0
1766883581.1246786,192482,956.0
1766883582.5164485,193962,956.0
1766883587.929307,197435,948.0
1766883589.9805267,198020,942.0
1766883591.5160184,198516,937.0
1766883595.2478452,199786,927.0
1766883596.0741794,200190,925.0
1766883597.216875,200551,922.0
1766883602.1563592,202934,912.0
1766883603.0844882,203659,912.0
1766883603.547805,204086,912.0
1766883604.6942585,205223,912.0
1766883605.1466405,205693,912.0
1766883607.8534148,208153,912.0
1766883609.3233998,209471,912.0
1766883610.6264625,210757,913.0
1766883611.1431363,211275,913.0
1766883611.2565916,211394,913.0
1766883612.2100008,212337,913.0
1766883613.8056962,213878,914.0
1766883614.3885114,214274,913.0
1766883614.8044875,214634,913.0
1766883615.7304544,215554,913.0
1766883616.0582557,215894,913.0
1766883621.002577,219618,910.0
1766883623.3137264,221187,908.0
1766883623.805461,221665,908.0
1766883625.0382102,222806,908.0
1766883627.2306483,224694,908.0
1766883627.3953524,224843,908.0
1766883629.7789502,227128,908.0
1766883630.7131827,227841,908.0
1766883632.3738716,229253,907.0
1766883632.9341204,229716,907.0
1766883633.5607567,230231,907.0
1766883633.9701524,230552,907.0
1766883635.2028542,231626,906.0
1766883639.519016,235336,906.0
1766883640.8849351,236630,906.0
1766883642.1087925,237667,906.0
1766883643.5008233,239063,906.0
1766883643.9797773,239518,906.0
1766883644.464991,240072,907.0
1766883645.2161455,240786,907.0
1766883645.9633763,241504,907.0
